title|May2002|July2002|October2002|December2002|April2003|May2003|July2003|August2003|November2003|February2004|April2004|August2004|October2004|April2005|October2005|April2006|September2006|March2007|June2007|September2007|March2008|May2008|September2008|March2009|September2009|March2010|September2010
Brilliant Fusion|||||||||||||||||||||||||||
Brionac, Dragon of the Ice Barrier||||||||||||||||||||||||||1|1
Brotherhood of the Fire Fist - Spirit|||||||||||||||||||||||||||
Burial from a Different Dimension||||||||||||||||||3|3|3|3|3|3|3|3|1|1
Burner, Dragon Ruler of Sparks|||||||||||||||||||||||||||
Butterfly Dagger - Elma||||||||||1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Call of the Haunted||||1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|1|1|1
Called by the Grave|||||||||||||||||||||||||||
Card Destruction|2|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Card of Demise|||||||||||||||||||||||||||
Card of Safe Return||||||||||||||3|3|3|3|3|3|3|3|3|2|1|0|0|0
Card Trooper||||||||||||||||||3|3|1|1|1|1|1|1|1|1
Ceasefire||||1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Chain Strike||||||||||||||||||1|1|1|1|1|2|2|2|2|2
Change of Heart|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Chaos Emperor Dragon - Envoy of the End|||||||||||1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Chaos Sorcerer|||||||||||3|3|3|3|3|3|0|0|0|0|0|0|0|1|2|1|2
Charge of the Light Brigade||||||||||||||||||||||||3|3|1|1
Chicken Game|||||||||||||||||||||||||||
Cir, Malebranche of the Burning Abyss|||||||||||||||||||||||||||
Coach Soldier Wolfbark|||||||||||||||||||||||||||
Cold Wave||||||||||||||3|3|3|3|3|3|3|3|3|3|3|1|1|1
Compulsory Evacuation Device||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3
Confiscation|||1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|0|0|0|0|0|0|0|0
Constellar Ptolemy M7|||||||||||||||||||||||||||
Creature Swap|||||||2|2|2|2|2|2|2|2|2|2|2|2|2|2|3|3|3|3|3|3|3
Crush Card Virus||||||||||||||||||1|1|1|1|1|1|1|0|0|0
Crystron Halqifibrax|||||||||||||||||||||||||||
Cyber Angel Benten|||||||||||||||||||||||||||
Cyber Dragon|||||||||||||||3|3|3|3|3|3|2|2|1|1|1|2|3
Cyber Jar|||1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0
Cyber-Stein||||||||||||||3|3|3|0|0|0|0|0|0|0|0|0|0|0
D.D. Assailant||||||||||||||3|3|1|1|2|2|3|3|3|3|3|3|3|3
D.D. Warrior Lady||||||||||3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|3|3|3
Daigusto Emeral|||||||||||||||||||||||||||
Dandylion|||||||||||||||||||||||1|1|1|2|2
Danger! Nessie!|||||||||||||||||||||||||||
Danger!? Jackalope?|||||||||||||||||||||||||||
Danger!? Tsuchinoko?|||||||||||||||||||||||||||
Dark Armed Dragon|||||||||||||||||||||3|3|2|1|1|1|1
Dark Grepher|||||||||||||||||||||3|3|3|3|3|3|3
Dark Hole|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1
Dark Magician of Chaos||||||||||3|3|3|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0
Dark Scorpion - Chick the Yellow||||||||||3|3|3|3|2|3|3|3|3|3|3|3|3|3|3|3|3|3
Dark Strike Fighter|||||||||||||||||||||||||0|0|0
Debris Dragon||||||||||||||||||||||||3|3|3|3
Deck Devastation Virus||||||||||||||1|1|2|2|2|2|3|3|3|3|3|3|3|3
Deep Sea Diva|||||||||||||||||||||||||3|3|3
Delinquent Duo|||1|1|1|1|1|1|1|1|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
Demise, King of Armageddon||||||||||||||||3|3|3|3|3|3|3|3|3|1|2|2
Denglong, First of the Yang Zing|||||||||||||||||||||||||||
Destiny Draw||||||||||||||||||3|3|3|3|3|3|2|3|1|1
Destiny HERO - Disk Commander|||||||||||||||||||3|1|1|1|0|0|0|0|0
Destiny HERO - Malicious||||||||||||||||||3|3|2|2|2|3|2|2|2|2
Destrudo the Lost Dragon's Frisson|||||||||||||||||||||||||||
Dewloren, Tiger King of the Ice Barrier|||||||||||||||||||||||||||2
Dimension Fusion|||||||||||3|3|3|3|3|3|3|1|1|1|1|0|0|0|0|0|0
Dimensional Fissure|||||||||||||||||3|3|3|3|3|3|3|3|3|3|3
Dimensional Prison|||||||||||||||||||||3|3|3|3|3|3|3
Dinomight Knight, the True Dracofighter|||||||||||||||||||||||||||
Dinowrestler Pankratops|||||||||||||||||||||||||||
Divine Wind of Mist Valley|||||||||||||||||||||||||||
Djinn Releaser of Rituals||||||||||||||||||||||||||3|3
Double Iris Magician|||||||||||||||||||||||||||
Draco Face-Off|||||||||||||||||||||||||||
Dragon Buster Destruction Sword|||||||||||||||||||||||||||
Dragon Ravine|||||||||||||||||||||||||||
Dragonic Diagram|||||||||||||||||||||||||||
Drop Off|||||||3|3|3|3|3|3|3|3|3|1|3|3|3|3|3|3|3|3|3|3|3
E - Emergency Call|||||||||||||||||3|3|3|3|3|3|3|3|3|3|3
Eclipse Wyvern|||||||||||||||||||||||||||
Ehther the Heavenly Monarch|||||||||||||||||||||||||||
El Shaddoll Construct|||||||||||||||||||||||||||
El Shaddoll Fusion|||||||||||||||||||||||||||
Elder Entity Norden|||||||||||||||||||||||||||
Elemental HERO Stratos||||||||||||||||||1|1|1|1|1|1|1|1|1|1
Emergency Provisions||||||||||||3|3|2|2|2|3|3|3|3|3|3|3|3|3|3|3
Emergency Teleport|||||||||||||||||||||||3|1|1|1|1
Eradicator Epidemic Virus|||||||||||||||||||3|3|3|3|3|3|3|3|3
Eva|||||||||||||||||||||||||||
Evigishki Gustkraken|||||||||||||||||||||||||||
Evigishki Mind Augus|||||||||||||||||||||||||||
Evilswarm Exciton Knight|||||||||||||||||||||||||||
Exchange of the Spirit|||||||||||||||1|0|0|0|0|0|0|0|0|0|0|0|0
Exiled Force|||||||1|1|1|1|1|1|1|1|1|1|2|3|3|3|3|3|3|3|3|3|3
Exodia the Forbidden One|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Fairy Tail - Snow|||||||||||||||||||||||||||
Fiber Jar|||||||1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Final Countdown||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3
Fire Formation - Tenki|||||||||||||||||||||||||||
Firewall Dragon|||||||||||||||||||||||||||
Fishborg Blaster|||||||||||||||||||||||||3|3|3
Fissure|||||||||||3|3|3|3|3|3|3|3|3|1|1|1|1|1|3|3|3
Foolish Burial|||||||||||||||||||||2|2|2|2|2|1|1
Formula Synchron|||||||||||||||||||||||||||
Fusion Destiny|||||||||||||||||||||||||||
Future Fusion|||||||||||||||||1|1|1|1|1|1|1|1|1|1|1
Gateway of the Six||||||||||||||||||||||||||3|3
Geargiagear|||||||||||||||||||||||||||
Gem-Knight Master Diamond|||||||||||||||||||||||||||
Genex Ally Birdman|||||||||||||||||||||||||||
Giant Trunade|||3|3|3|3|3|3|3|3|3|3|3|3|3|3|2|1|1|1|1|1|1|1|1|1|1
Gladiator Beast Bestiari|||||||||||||||||||||3|3|3|1|1|1|1
Glow-Up Bulb|||||||||||||||||||||||||||
Goblin Zombie|||||||||||||||||||||3|3|3|2|2|2|3
Gold Sarcophagus||||||||||||||||||||1|1|1|1|2|2|2|2
Good Goblin Housekeeping||||||||||||||2|2|2|2|2|2|3|3|3|3|3|3|3|3
Gorz the Emissary of Darkness|||||||||||||||||||||||1|1|1|1|1
Goyo Guardian||||||||||||||||||||||||1|1|1|1
Graceful Charity|||||3|2|2|1|1|1|1|0|0|1|0|1|1|0|0|0|0|0|0|0|0|0|0
Graff, Malebranche of the Burning Abyss|||||||||||||||||||||||||||
Grandsoil the Elemental Lord|||||||||||||||||||||||||||
Gravity Bind||||3|3|3|3|3|3|3|3|3|3|2|2|2|1|1|1|1|1|1|1|1|1|1|1
Green Baboon, Defender of the Forest|||||||||||||||||||1|1|1|1|1|2|3|3|3
Green Gadget||||||||||||||||||3|3|2|3|3|3|3|3|3|3
Grinder Golem|||||||||||||||||||||3|3|3|3|3|3|3
Guardragon Agarpain|||||||||||||||||||||||||||
Guardragon Elpy|||||||||||||||||||||||||||
Harpie's Feather Duster|||||3|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Heavy Storm||2|2|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
Heavymetalfoes Electrumite|||||||||||||||||||||||||||
Hieratic Seal of Convocation|||||||||||||||||||||||||||
Honest|||||||||||||||3|3|3|3|3|3|3|3|3|3|3|2|2
Ib the World Chalice Justiciar|||||||||||||||||||||||||||
Icarus Attack|||||||||||||||||3|3|3|3|3|3|3|3|3|3|3
Ignis Heat, the True Dracowarrior|||||||||||||||||||||||||||
Ignister Prominence, the Blasting Dracoslayer|||||||||||||||||||||||||||
Imperial Order||||1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Infernity Archfiend|||||||||||||||||||||||||||3
Infernity Barrier|||||||||||||||||||||||||||3
Infernity Launcher|||||||||||||||||||||||||||1
Injection Fairy Lily|||||||1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3
Instant Fusion||||||||||||||||||3|3|3|3|3|3|3|3|3|3
Interrupted Kaiju Slumber|||||||||||||||||||||||||||
Into the Void|||||||||||||||||||||||||||3
Inzektor Dragonfly|||||||||||||||||||||||||||
Inzektor Hornet|||||||||||||||||||||||||||
Jet Synchron|||||||||||||||||||||||||||
Jinzo||||1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|3|3|3|3|3|3|3
Judgment Dragon|||||||||||||||||||||||2|2|2|2|2
Kaiser Colosseum||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3
Knightmare Goblin|||||||||||||||||||||||||||
Knightmare Mermaid|||||||||||||||||||||||||||
Kozmo Dark Destroyer|||||||||||||||||||||||||||
Lady Debug|||||||||||||||||||||||||||
Last Turn|||||||2|2|2|2|2|2|2|2|2|0|0|0|0|0|0|0|0|0|0|0|0
Last Will|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|1|1|0|0|0|0|0|0|0|0|0|0
Lavalval Chain|||||||||||||||||||||||||||
Left Arm of the Forbidden One|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Left Leg of the Forbidden One|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Legendary Six Samurai - Shi En|||||||||||||||||||||||||||
Level Eater||||||||||||||||||||||||||3|3
Level Limit - Area B||||||||||||3|3|2|2|1|1|1|1|1|1|1|1|1|1|1|1
Light and Darkness Dragon|||||||||||||||||||||2|2|3|3|3|3|3
Lightning Vortex||||||||||||||1|1|1|3|3|3|3|3|3|3|3|3|3|3
Lightning, Dragon Ruler of Drafts|||||||||||||||||||||||||||
Limiter Removal||||1|1|1|1|3|3|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1
Linkross|||||||||||||||||||||||||||
Lonefire Blossom|||||||||||||||||||||3|3|3|3|2|2|2
Lumina, Lightsworn Summoner|||||||||||||||||||||||3|3|3|1|1
Lunalight Tiger|||||||||||||||||||||||||||
Luster Pendulum, the Dracoslayer|||||||||||||||||||||||||||
Lyrilusc - Recital Starling|||||||||||||||||||||||||||
M-X-Saber Invoker|||||||||||||||||||||||||||
Macro Cosmos|||||||||||||||||3|3|3|3|3|3|3|3|3|3|3
Mage Power|||||1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|3|3|3|3|3
Magic Cylinder|||||1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2
Magical Explosion|||||||||||||||3|3|3|3|3|3|3|3|3|3|3|1|1
Magical Mid-Breaker Field|||||||||||||||||||||||||||
Magical Scientist||||||||||1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Magical Stone Excavation||||||||||||||||||3|1|1|2|2|2|2|2|2|2
Magician of Faith||3|3|3|3|3|3|3|3|3|3|3|3|3|1|2|1|0|0|1|0|0|0|0|0|0|0
Majespecter Unicorn - Kirin|||||||||||||||||||||||||||
Makyura the Destructor||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0
Manticore of Darkness|||||||||||2|2|2|2|2|2|2|2|2|2|2|2|2|3|3|3|3
Marauding Captain|||||||2|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3
Marshmallon||||||||||||||||||||1|1|1|1|1|1|1|1
Mask of Darkness|||3|3|3|3|3|3|3|3|3|3|3|3|3|1|1|2|2|2|2|2|2|2|2|3|3
Mass Driver||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3
Master Peace, the True Dracoslaying King|||||||||||||||||||||||||||
Mathematician|||||||||||||||||||||||||||
Maxx "C"|||||||||||||||||||||||||||
Mecha Phantom Beast Auroradon|||||||||||||||||||||||||||
Mecha Phantom Beast O-Lion|||||||||||||||||||||||||||
Megamorph|||||||||||3|3|3|3|3|3|3|3|3|1|1|1|1|1|1|1|1
Mermail Abyssgunde|||||||||||||||||||||||||||
Metamorphosis||||||||3|3|3|3|3|3|3|1|1|1|2|2|0|0|0|0|0|0|0|0
Metaverse|||||||||||||||||||||||||||
Mezuki|||||||||||||||||||||||1|1|2|1|1
Mind Control||||||||||||||3|3|3|3|3|3|3|3|3|3|3|1|1|1
Mind Crush|||||||||||||3|3|3|3|3|1|1|1|1|1|1|2|2|1|1
Mind Master||||||||||||||||||||||||3|1|1|1
Mirage of Nightmare||||||||1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Mirror Force||1|1|1|1|1|1|1|1|1|1|0|0|1|0|1|1|1|1|1|1|1|1|1|1|1|1
Miscellaneousaurus|||||||||||||||||||||||||||
Monster Gate||||||||||||||||3|3|3|3|3|3|3|1|1|1|1|1
Monster Reborn|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|1|1|1|1|0|0|1
Morphing Jar|||3|1|1|1|1|1|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Morphing Jar 2||||2|2|2|2|2|2|2|2|2|2|3|2|2|2|2|2|2|2|2|2|2|2|2|2
Mystical Space Typhoon|||3|3|3|3|3|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2
Nadir Servant|||||||||||||||||||||||||||
Necro Gardna||||||||||||||||||||3|3|3|3|3|3|1|1
Necroface|||||||||||||||||||||2|2|2|2|2|1|1
Nekroz of Brionac|||||||||||||||||||||||||||
Nekroz of Unicore|||||||||||||||||||||||||||
Neo-Spacian Grand Mole||||||||||||||||||1|1|1|1|1|1|1|1|1|1
Night Assailant||||||||||||3|3|2|1|1|1|1|1|1|1|1|1|1|1|1|1
Nobleman of Crossout||||2|2|2|2|2|2|2|2|2|2|2|1|2|1|1|1|2|1|1|2|3|3|3|3
Number 16: Shock Master|||||||||||||||||||||||||||
Number 42: Galaxy Tomahawk|||||||||||||||||||||||||||
Number 86: Heroic Champion - Rhongomyniad|||||||||||||||||||||||||||
Number 95: Galaxy-Eyes Dark Matter Dragon|||||||||||||||||||||||||||
Number S0: Utopic ZEXAL|||||||||||||||||||||||||||
Ojama Trio||||||||||||||3|3|3|3|3|3|3|1|1|1|1|1|1|2
One Day of Peace|||||||||||||||||||||||||||
One for One|||||||||||||||||||||||||1|1|1
Orcust Harp Horror|||||||||||||||||||||||||||
Outer Entity Azathot|||||||||||||||||||||||||||
Overload Fusion|||||||||||||||||3|1|1|1|1|1|1|1|1|1|1
Painful Choice|||1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Pantheism of the Monarchs|||||||||||||||||||||||||||
Pendulum Call|||||||||||||||||||||||||||
Performage Damage Juggler|||||||||||||||||||||||||||
Performage Plushfire|||||||||||||||||||||||||||
Performapal Monkeyboard|||||||||||||||||||||||||||
Performapal Skullcrobat Joker|||||||||||||||||||||||||||
Phantom of Chaos|||||||||||||||||||||3|3|2|3|3|3|3
Phantom Skyblaster|||||||||||||||||||||3|3|3|3|3|3|3
Phoenixian Cluster Amaryllis|||||||||||||||||||||||||3|3|3
Plaguespreader Zombie||||||||||||||||||||||||1|1|1|1
Pot of Avarice||||||||||||||||1|1|1|1|2|3|3|3|3|3|3|3
Pot of Desires|||||||||||||||||||||||||||
Pot of Duality|||||||||||||||||||||||||||3
Pot of Greed|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0
Prank-Kids Meow-Meow-Mu|||||||||||||||||||||||||||
Predaplant Verte Anaconda|||||||||||||||||||||||||||
Premature Burial||||1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0
Preparation of Rites||||||||||||||||||||||||||3|3
Primal Seed||||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3
Protector of the Sanctuary|||||||||||3|3|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3
PSY-Framelord Omega|||||||||||||||||||||||||||
Qliphort Scout|||||||||||||||||||||||||||
Raigeki|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Raiza the Storm Monarch|||||||||||||||||||3|3|1|1|1|2|3|3|3
Rank-Up-Magic Argent Chaos Force|||||||||||||||||||||||||||
Reactan, Dragon Ruler of Pebbles|||||||||||||||||||||||||||
Reasoning||||||||||||||||||||||3|1|1|1|1|1
Reborn Tengu|||||||||||||||||||||||||||
Reckless Greed||||||||1|1|1|1|1|1|1|1|1|2|2|2|2|3|3|3|3|3|3|3
Red Gadget||||||||||||||||||3|3|2|3|3|3|3|3|3|3
Red Reboot|||||||||||||||||||||||||||
Red Rose Dragon|||||||||||||||||||||||||||
Red-Eyes Darkness Metal Dragon||||||||||||||||||||||||3|3|3|3
Redox, Dragon Ruler of Boulders|||||||||||||||||||||||||||
Reflect Bounder||||||||||1|1|1|1|1|1|2|3|3|3|3|3|3|3|3|3|3|3
Reinforcement of the Army|||||||2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|3|1|1|1|1
Rekindling|||||||||||||||||||||||||3|3|3
Rescue Cat||||||||||||||3|3|3|3|3|3|3|3|3|2|2|1|1|0
Rescue Rabbit|||||||||||||||||||||||||||
Return from the Different Dimension||||||||||||3|3|3|3|3|3|3|3|3|3|1|1|1|1|1|1
Right Arm of the Forbidden One|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Right Leg of the Forbidden One|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Ring of Destruction||||||||1|1|1|1|1|1|1|0|0|1|1|1|0|0|0|0|0|0|0|0
Ritual Beast Ulti-Cannahawk|||||||||||||||||||||||||||
Royal Decree|||||||||||||||3|3|3|3|3|2|2|2|3|3|3|2|3
Royal Oppression|||||||||||||||3|3|3|3|3|3|3|3|3|3|3|2|1
Royal Tribute||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3
Sacred Phoenix of Nephthys||||||||||||||1|1|1|1|3|3|3|3|3|3|3|3|3|3
Sacred Sword of Seven Stars|||||||||||||||||||||||||||
Salamangreat Circle|||||||||||||||||||||||||||
Salamangreat Gazelle|||||||||||||||||||||||||||
Salamangreat Miragestallio|||||||||||||||||||||||||||
Samsara Lotus||||||||||||||||||3|3|3|3|3|3|3|3|3|3
Sangan||2|2|2|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Saqlifice|||||||||||||||||||||||||||
Scapegoat|||||3|3|3|3|3|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1
Sekka's Light|||||||||||||||||||||||||||
Self-Destruct Button||||||||||||||||||||3|3|3|3|3|3|3|3
Servant of Endymion|||||||||||||||||||||||||||
Set Rotation|||||||||||||||||||||||||||
Shien's Smoke Signal|||||||||||||||||||||||||||
Shooting Riser Dragon|||||||||||||||||||||||||||
Shurit, Strategist of the Nekroz|||||||||||||||||||||||||||
Simorgh, Bird of Sovereignty|||||||||||||||||||||||||||
Sinister Serpent|||||3|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0
Sixth Sense|||||||||||||||||||||||||||
Skill Drain||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|2|2
Sky Striker Ace - Kagari|||||||||||||||||||||||||||
Sky Striker Mecha - Hornet Drones|||||||||||||||||||||||||||
Sky Striker Mecha - Widow Anchor|||||||||||||||||||||||||||
Sky Striker Mecha Modules - Multirole|||||||||||||||||||||||||||
Sky Striker Mobilize - Engage!|||||||||||||||||||||||||||
Slash Draw|||||||||||||||||||||||||||
Smashing Ground||||||||||||||||||||1|1|1|1|1|1|3|3
Smoke Grenade of the Thief||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3
Snatch Steal|||1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|0|0|0|0|0|0|0|0
Snipe Hunter||||||||||||||||||3|3|1|1|1|1|1|1|1|2
Solemn Judgment||||||||||||||3|3|3|3|3|3|3|3|3|3|3|1|1|1
Solemn Warning|||||||||||||||||||||||||||3
Soul Charge|||||||||||||||||||||||||||
Soul Drain|||||||||||||||||||||||||||
Speedroid Terrortop|||||||||||||||||||||||||||
Spellbook of Fate|||||||||||||||||||||||||||
Spellbook of Judgment|||||||||||||||||||||||||||
Spirit Reaper||||||||3|3|3|3|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1|1
Spore|||||||||||||||||||||||||||3
SPYRAL GEAR - Drone|||||||||||||||||||||||||||
SPYRAL Master Plan|||||||||||||||||||||||||||
SPYRAL Quik-Fix|||||||||||||||||||||||||||
SPYRAL Resort|||||||||||||||||||||||||||
Stream, Dragon Ruler of Droplets|||||||||||||||||||||||||||
Striker Dragon|||||||||||||||||||||||||||
Substitoad|||||||||||||||||||||||3|3|3|3|0
Summon Sorceress|||||||||||||||||||||||||||
Summoner Monk||||||||||||||||||||||||2|1|1|1
Super Polymerization|||||||||||||||||||||3|3|3|3|3|3|3
Super Rejuvenation||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3
Supreme King Dragon Starving Venom|||||||||||||||||||||||||||
Swords of Revealing Light|2|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Symbol of Heritage||||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3
T.G. Hyper Librarian|||||||||||||||||||||||||||
T.G. Striker|||||||||||||||||||||||||||
Tellarknight Ptolemaeus|||||||||||||||||||||||||||
Tempest Magician||||||||||||||||||||||||3|3|3|3
Tempest, Dragon Ruler of Storms|||||||||||||||||||||||||||
Temple of the Kings|||||||||||||||||||||||||||0
Terraforming||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3
That Grass Looks Greener|||||||||||||||||||||||||||
The Agent of Mystery - Earth|||||||||||||||||||||||||||
The Forceful Sentry|||1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
The Monarchs Stormforth|||||||||||||||||||||||||||
The Phantom Knights of Rusty Bardiche|||||||||||||||||||||||||||
The Phantom Knights' Rank-Up-Magic Launch|||||||||||||||||||||||||||
The Transmigration Prophecy||||||||||||||||||3|3|1|1|1|1|1|1|1|1
The Tyrant Neptune|||||||||||||||||||||||||||3
Thousand-Eyes Restrict||||3|3|3|3|3|3|3|3|3|3|3|1|1|0|0|0|0|0|0|0|0|0|0|0
Thunder Dragon Colossus|||||||||||||||||||||||||||
Thunder King Rai-Oh|||||||||||||||||||||||||||3
Tidal, Dragon Ruler of Waterfalls|||||||||||||||||||||||||||
Time Seal|||||||||||3|3|3|3|3|0|0|0|0|0|0|0|0|0|0|0|0
Toadally Awesome|||||||||||||||||||||||||||
Topologic Gumblar Dragon|||||||||||||||||||||||||||
Torrential Tribute||||||3|3|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Tour Guide From the Underworld|||||||||||||||||||||||||||
Tragoedia|||||||||||||||||||||||||3|1|1
Trap Dustshoot|||||||||||||||3|3|3|3|3|1|1|1|1|1|1|1|1
Treeborn Frog|||||||||||||||3|1|1|1|1|1|1|1|1|1|1|2|3
Tribe-Infecting Virus|||||||||1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0
Trickstar Light Stage|||||||||||||||||||||||||||
Trishula, Dragon of the Ice Barrier|||||||||||||||||||||||||||
True King Lithosagym, the Disaster|||||||||||||||||||||||||||
